iter	Passed	Remaining
147	1101	1875
148	1106	1864
149	1112	1854
150	1117	1843
151	1123	1832
152	1127	1820
153	1131	1808
154	1137	1797
155	1142	1786
156	1148	1778
157	1153	1766
158	1158	1756
159	1164	1746
160	1169	1736
161	1174	1725
162	1179	1715
163	1185	1705
164	1189	1694
165	1194	1683
166	1198	1672
167	1204	1663
168	1209	1652
169	1214	1643
170	1219	1633
171	1225	1624
172	1230	1613
173	1235	1604
174	1242	1596
175	1247	1587
176	1252	1577
177	1257	1567
178	1262	1558
179	1266	1548
180	1272	1539
181	1278	1530
182	1283	1522
183	1288	1512
184	1293	1503
185	1297	1493
186	1302	1483
187	1307	1474
188	1312	1465
189	1317	1456
190	1323	1447
191	1328	1438
192	1332	1429
193	1338	1421
194	1343	1412
195	1348	1403
196	1353	1395
197	1358	1386
198	1363	1376
199	1368	1368
200	1373	1359
201	1379	1352
202	1385	1344
203	1390	1336
204	1394	1326
205	1400	1318
206	1405	1310
207	1410	1302
208	1415	1293
209	1420	1285
210	1425	1277
211	1430	1268
212	1435	1260
213	1441	1253
214	1447	1245
215	1452	1237
216	1456	1228
217	1461	1220
218	1466	1211
219	1470	1203
220	1475	1195
221	1480	1187
222	1485	1179
223	1490	1171
224	1495	1163
225	1500	1155
226	1506	1148
227	1511	1140
228	1516	1132
229	1521	1124
230	1527	1117
231	1532	1109
232	1538	1102
233	1545	1096
234	1551	1089
235	1556	1081
236	1561	1073
237	1565	1065
238	1570	1058
239	1576	1050
240	1581	1043
241	1586	1035
242	1590	1027
243	1595	1020
244	1600	1012
245	1605	1005
246	1611	997
247	1615	990
248	1620	982
249	1625	975
250	1631	968
251	1636	961
252	1642	954
253	1647	946
254	1652	939
255	1657	932
256	1661	924
257	1666	917
258	1672	910
259	1676	902
260	1684	896
261	1688	889
262	1693	882
263	1698	875
264	1703	867
265	1709	861
266	1715	854
267	1721	847
268	1725	840
269	1730	833
270	1736	826
271	1743	820
272	1750	814
273	1755	807
274	1760	800
275	1764	792
276	1769	785
277	1774	778
278	1778	771
279	1783	764
280	1788	757
281	1793	750
282	1797	743
283	1802	736
284	1807	729
285	1811	722
286	1816	715
287	1821	708
288	1826	701
289	1831	694
290	1835	687
291	1840	680
292	1846	674
293	1852	667
294	1857	661
295	1862	654
296	1867	647
297	1873	641
298	1878	634
299	1883	627
300	1888	621
301	1893	614
302	1898	607
303	1903	600
304	1907	594
305	1913	587
306	1918	581
307	1922	574
308	1926	567
309	1932	560
310	1938	554
311	1946	549
312	1951	542
313	1956	535
314	1961	529
315	1966	522
316	1970	516
317	1976	509
318	1981	503
319	1986	496
320	1991	490
321	1995	483
322	2000	476
323	2004	470
324	2010	463
325	2015	457
326	2020	451
327	2025	444
328	2030	438
329	2035	431
330	2039	425
331	2046	419
332	2051	412
333	2056	406
334	2061	400
335	2066	393
336	2071	387
337	2076	380
338	2083	374
339	2087	368
340	2093	362
341	2098	355
342	2104	349
343	2109	343
344	2114	337
345	2119	330
346	2124	324
347	2128	318
348	2133	311
349	2138	305
350	2142	299
351	2149	293
352	2155	286
353	2160	280
354	2165	274
355	2170	268
356	2177	262
357	2183	256
358	2188	249
359	2194	243
360	2198	237
361	2203	231
362	2207	225
363	2213	218
364	2217	212
365	2222	206
366	2227	200
367	2232	194
368	2237	187
369	2242	181
370	2248	175
371	2254	169
372	2259	163
373	2264	157
374	2269	151
375	2274	145
376	2279	139
377	2284	132
378	2289	126
379	2294	120
380	2299	114
381	2304	108
382	2308	102
383	2313	96
384	2318	90
385	2323	84
386	2328	78
387	2332	72
388	2337	66
389	2345	60
390	2351	54
391	2357	48
392	2362	42
393	2366	36
394	2371	30
395	2376	24
396	2381	17
397	2386	11
398	2392	5
399	2396	0
